idEla,tema,concepto,acuerdo,fundamento
2231,4,ciudadania,A,participativa
3321,3,ciudadania,A,"Ser ciudadano conlleva deberes y obligaciones, entre ellos votar, pagar impuestos, contribuir al bien común."
7198,4,ciudadania,A,encargada de fiscalizar
10583,4,ciudadania,A,"Que los ciudadanos que tengan iniciativas, sean apoyadas por el parlamente"
