nombre,lat,lng,poblacion,area,region
Futrono,-40.1245411,-72.3808496,15811,2267.5,Los Ríos
Galvarino,-38.4088593,-72.7821187,11324,568.2,La Araucanía
General Lagos,-17.6533,-69.6347,739,2244.4,Arica y Parinacota
Gorbea,-39.1005597,-72.67636,15481,694.5,La Araucanía
Graneros,-34.0666916,-70.7325646,30372,113,'Libertador General Bernardo O''Higgins'
Hijuelas,-32.7980018,-71.1437211,19132,267,Valparaiso
Hualaihué,-42.0216398,-72.6891622,8426,2787.7,Los Lagos
Hualañé,-34.9725157,-71.7993371,9977,629,Maule
Hualpén,-36.7866757,-73.1099531,86176,53.5,Biobío
Hualqui,-36.9737875,-72.9368437,21934,530.5,Biobío
Huara,-19.9972461,-69.7718515,2360,10474.6,Tarapacá
Huechuraba,-33.3742128,-70.6367425,87667,44.8,Metropolitana de Santiago
Illapel,-31.6308,-71.1653,30598,2629,Coquimbo
Independencia,-33.4133469,-70.6662915,73874,7,Metropolitana de Santiago
Iquique,-20.2307033,-70.1356692,184953,2242.1,Tarapacá
Isla de Maipo,-33.7464562,-70.9,33723,189,Metropolitana de Santiago
Isla de Pascua,-27.11299,-109.3495806,5761,163.6,Valparaiso
Juan Fernández,-33.7744303,-80.7768613,792,149.4,Valparaiso
La Calera,-32.7877958,-71.2039963,55207,60.5,Valparaiso
La Cisterna,-33.5264495,-70.6613511,80910,10,Metropolitana de Santiago
La Cruz,-32.8258069,-71.2273055,17346,78,Valparaiso
La Estrella,-34.2051972,-71.6547276,4821,435,'Libertador General Bernardo O''Higgins'
La Florida,-33.5226882,-70.5987142,397497,70.2,Metropolitana de Santiago
La Granja,-33.5377931,-70.620678,121214,10,Metropolitana de Santiago
La Higuera,-29.5119534,-71.2000844,4331,4158.2,Coquimbo
La Ligua,-32.4499018,-71.2325958,38524,1163,Valparaiso
La Pintana,-33.5855661,-70.6285838,202146,30.6,Metropolitana de Santiago
La Reina,-33.4411269,-70.5340591,91927,23,Metropolitana de Santiago
La Serena,-29.9026691,-71.2519374,211275,1892.8,Coquimbo
La Unión,-40.2952749,-73.079328,38544,2137,Los Ríos
Lago Ranco,-40.3211603,-72.4822123,9380,1763.3,Los Ríos
Lago Verde,-44.2385218,-71.8511271,925,5422.3,Aisén del General Carlos Ibáñez del Campo
Laja,-37.271425,-72.7194906,20964,339.8,Biobío
Lampa,-33.2827093,-70.879328,79421,452,Metropolitana de Santiago
Lanco,-39.4510195,-72.7796167,16663,532.4,Los Ríos
Las Cabras,-34.2932184,-71.3126292,23857,749,'Libertador General Bernardo O''Higgins'
Las Condes,-33.4087844,-70.567069,289949,99,Metropolitana de Santiago
Lautaro,-38.5084312,-72.4541343,35451,901.1,La Araucanía
Lebu,-37.6097143,-73.6483294,25790,561.4,Biobío
Licantén,-34.9852447,-71.984988,6689,273,Maule
Limache,-33.0095283,-71.2595888,45864,294,Valparaiso
Linares,-35.846407,-71.5996137,107311,1466,Maule
Litueche,-34.117272,-71.725176,5591,619,'Libertador General Bernardo O''Higgins'
Llaillay,-32.844379,-70.942818,23680,349.1,Valparaiso
Llanquihue,-41.2606312,-73.0078406,18151,420.8,Los Lagos
Lo Barnechea,-33.352669,-70.518517,97230,1024,Metropolitana de Santiago
Lo Espejo,-33.5139265,-70.6930841,99527,7,Metropolitana de Santiago
Lo Prado,-33.4442688,-70.7233493,94766,7,Metropolitana de Santiago
Lolol,-34.7284166,-71.6458243,6630,597,'Libertador General Bernardo O''Higgins'
Loncoche,-39.3681199,-72.6315127,22191,976.8,La Araucanía
Longaví,-35.9636265,-71.6831251,28968,1454,Maule
Los Álamos,-37.6261237,-73.4622664,20723,599.1,Biobío
Los Andes,-32.8337995,-70.5972179,110866,1248,Valparaiso
Los Ángeles,-37.4629159,-72.3612251,195813,1748.2,Biobío
Los Lagos,-41.9197779,-72.1416132,18733,1791.2,Los Ríos
Los Muermos,-41.3994093,-73.4649905,16522,1245.8,Los Lagos
Los Sauces,-37.9791031,-72.8344812,6490,849.8,La Araucanía
Los Vilos,-31.9121865,-71.5112017,18483,1823.8,Coquimbo
Lota,-37.0920575,-73.1545822,48045,135.8,Biobío
Lumaco,-38.1640201,-72.9031846,10479,1119,La Araucanía
Machalí,-34.179452,-70.6565151,44566,2597,'Libertador General Bernardo O''Higgins'
Macul,-33.4851471,-70.5992005,111436,12.9,Metropolitana de Santiago
Máfil,-39.6648976,-72.9571573,7006,583,Los Ríos
Maipú,-33.5209155,-70.7631335,805000,135.5,Metropolitana de Santiago
Malloa,-34.4423905,-70.9463887,14972,113,'Libertador General Bernardo O''Higgins'
Marchihue,-34.3984467,-71.6215715,7557,660,'Libertador General Bernardo O''Higgins'
María Elena,-22.3450046,-69.6607055,4593,12197,Antofagasta
María Pinto,-33.5176692,-71.1239221,12501,393.5,Metropolitana de Santiago
Mariquina,-39.540279,-72.965652,19823,1320.5,Los Ríos
Maule,-35.5163603,-71.5723953,21957,190,Maule
Maullín,-41.614807,-73.5990281,13914,860.8,Los Lagos
