nombre,id,lat,lng,region,cantidadElas,poblacion
"Pencahue",7107,-35.3960652,-71.7974563,"Región de Maule",5,9187
"Penco",8107,-36.7333,-72.9833,"Región de Biobío",10,52389
"Peralillo",6307,-34.4772681,-71.487259,"Región de O'Higgins",11,10933
"Perquenco",9113,-38.4161093,-72.3756218,"Región de La Araucanía",3,6911
"Petorca",5404,-32.25,-70.9333,"Región de Valparaiso",11,10074
"Peumo",6112,-34.3963392,-71.1700793,"Región de O'Higgins",9,14158
"Pica",1405,-20.489483,-69.330511,"Región de Tarapacá",14,4194
"Pichidegua",6113,-34.3573785,-71.2872596,"Región de O'Higgins",5,18637
"Pichilemu",6201,-34.3867245,-72.0047731,"Región de O'Higgins",24,13916
"Pinto",8411,-36.7,-71.8940937,"Región de Biobío",9,10883
"Pirque",13202,-33.6793441,-70.5831069,"Santiago",25,20732
"Pitrufquén",9114,-38.9833,-72.6417312,"Región de La Araucanía",10,23776
"Placilla",6308,-34.6337953,-71.1108273,"Región de O'Higgins",14,9624
"Portezuelo",8412,-36.5267723,-72.4282133,"Región de Biobío",2,5061
"Porvenir",12301,-53.2957997,-70.3666545,"Región de Magallanes",11,5650
"Pozo Almonte",1401,-20.2567092,-69.7860128,"Región de Tarapacá",16,11519
"Primavera",12302,-52.716667,-69.25,"Región de Magallanes",2,803
"Providencia",13123,-33.4314474,-70.6093325,"Santiago",703,126487
