idEla,lat,lng,comuna,fecha
202,\N,\N,San Felipe,2016-06-15 18:30:00
205,\N,\N,Estación Central,2016-06-12 19:00:00
206,\N,\N,Los Vilos,2016-06-16 16:00:00
207,\N,\N,San Felipe,2016-06-02 19:00:00
209,\N,\N,Los Muermos,2016-06-13 09:30:00
210,\N,\N,Natales,2016-06-07 15:30:00
213,\N,\N,Providencia,2016-05-28 16:00:00
214,-33.0321957,-71.5887133,Valparaíso,2016-06-22 09:00:00
219,\N,\N,Puente Alto,2016-06-27 20:30:00
220,\N,\N,Punta Arenas,2016-06-12 15:30:00
221,\N,\N,Extranjero,2016-06-08 14:13:00
222,\N,\N,Lo Barnechea,2016-06-12 17:00:00
223,\N,\N,Machalí,2016-06-17 18:00:00
226,\N,\N,San Rafael,2016-06-21 09:15:00
228,\N,\N,Aysén,2016-06-18 15:00:00
229,\N,\N,Santiago,2016-06-18 18:00:00
230,-35.4306557,-71.6356974,Talca,2016-06-27 15:00:00
232,\N,\N,Providencia,2016-06-18 17:30:00
233,\N,\N,Maipú,2016-04-30 18:00:00
236,\N,\N,Copiapó,2016-06-12 16:00:00
238,\N,\N,Puerto Montt,2016-06-16 17:45:00
239,-33.4376289,-70.6368118,Santiago,2016-06-21 18:00:00
240,-36.7266459,-73.1138516,Concepción,2016-06-18 10:00:00
242,-33.4521022,-70.6645978,Santiago,2016-06-28 20:30:00
243,-34.1642328,-70.7618348,Rancagua,2016-06-18 10:00:00
244,\N,\N,Quellón,2016-06-25 14:00:00
245,\N,\N,Pelluhue,2016-06-20 10:20:00
246,-33.0383412,-71.4457358,Quilpué,2016-06-18 18:00:00
247,\N,\N,Santiago,2016-06-15 19:00:00
250,\N,\N,Antofagasta,2016-06-24 12:10:00
252,\N,\N,Macul,2016-06-25 15:30:00
253,-33.4268501,-70.6462696,Santiago,2016-06-18 17:49:00
255,-39.8061141,-73.2535432,Valdivia,2016-06-11 11:00:00
256,\N,\N,Santiago,2016-06-18 14:00:00
259,\N,\N,Macul,2016-05-27 13:50:00
261,\N,\N,La Cisterna,2016-05-25 19:59:00
262,\N,\N,Valdivia,2016-06-18 16:00:00
263,-33.4901605,-70.6760076,Pedro Aguirre Cerda,2016-06-11 19:00:00
265,\N,\N,Freirina,2016-06-16 16:00:00
266,\N,\N,Valparaíso,2016-06-24 17:00:00
270,\N,\N,Temuco,2016-06-11 12:00:00
273,\N,\N,Las Condes,2016-06-18 16:00:00
274,\N,\N,Doñihue,2016-06-09 14:30:00
